channelId,name,name.en,affiliation,group,subscriptionCount,videoCount
UCSlv7Z-4q7_7NRkzJB10A5Q,이시우 / Siu Lee 【NIJISANJI KR】,Siu Lee,Nijisanji,Nijisanji KR,16500,223
UC1ZV7KBscK0EMoJKFu1DnDg,눈보라 / Bora Nun 【NIJISANJI KR】,Bora Nun,Nijisanji,Nijisanji KR,179000,241
UC7hffDQLKIEG-_zoAQkMIvg,아키라 레이 / 明楽 レイ / Ray Akira 【NIJISANJI KR】,Ray Akira,Nijisanji,Nijisanji KR,25900,194
UCClwIqTUn5LDpFucHyaAhHg,이로하 /LeeRoha 【NIJISANJI KR】,Roha Lee,Nijisanji,Nijisanji KR,40900,152
UCCHH0nWYXFZmtDS_4tvMxHQ,양나리 / Nari Yang 【NIJISANJI KR】,Nari Yang,Nijisanji,Nijisanji KR,10700,203
UCi6nV5Z2dzFuXBzLG3P9zqQ,신기루 / Kiru Shin 【NIJISANJI KR】,Kiru Shin,Nijisanji,Nijisanji KR,8460,112
UClS6k3w1sPwlVFqK3-yID5A,류하리 / Hari Ryu 【NIJISANJI KR】,Hari Ryu,Nijisanji,Nijisanji KR,9760,123
UCnzZmBOSrQf2wDBbnsDajVw,오지유 / Jiyu Oh 【NIJISANJI KR】,Jiyu Oh,Nijisanji,Nijisanji KR,11600,151
UCeGendL8CO5RkffB6IFwHow,세피나 / Seffyna 【NIJISANJI KR】,Seffyna,Nijisanji,Nijisanji KR,5360,47
UCLjx3lqIkYkPCBJop8czJ2A,반하다 / Ban Hada 【NIJISANJI KR】,Ban Hada,Nijisanji,Nijisanji KR,9420,30
UCyqzU2nq7eGNi4kN0uHx7TA,송미아 / Song Mia 【NIJISANJI KR】,Song Mia,Nijisanji,Nijisanji KR,4350,33
UCdCczCYPOeP5hTfbx6tzz_A,char ch. 星乃シャロ,Hoshino Char,Tsunderia,Generation 0,28000,103
UCdrQWcX7XLDSUEh9SAxnyBg,Purin ch. 犬養プリン,Inukai Purin,Tsunderia,Generation 0,25200,104
